0,917
1,978
2,985
3,1019
4,979
5,1039
6,1047
7,1008
8,1043
9,1053
10,993
11,1013
12,1048
13,1039
14,949
15,1080
16,1036
17,1015
18,978
19,1024
20,1040
21,1047
22,1015
23,1017
24,1047
25,995
26,1110
27,1085
28,985
29,1050
30,1059
31,1056
32,1052
33,1070
34,1021
35,1023
36,1049
37,1027
38,1071
39,984
40,1059
41,1030
42,1065
43,1043
44,1023
45,991
46,993
47,1045
48,1018
49,1006
50,1029
51,1032
52,1028
53,1045
54,1066
55,996
56,1022
57,1038
58,992
59,1007
60,964
61,1002
62,958
63,1039
64,1063
65,948
66,988
67,976
68,1015
69,987
70,1044
71,934
72,1085
73,1066
74,1042
75,960
76,1056
77,972
78,1001
79,1030
80,1050
81,1000
82,1029
83,972
84,1017
85,995
86,999
87,1005
88,973
89,1029
90,1023
91,1021
92,1011
93,965
94,984
95,996
96,974
97,997
98,1044
